,0
0,0.402893049
1,0.422768905
2,0.506732034
3,0.453225346
4,0.38471672
5,0.451821903
6,0.418283788
7,0.331804855
8,0.368194516
9,0.381441511
10,0.487953023
11,0.477908697
12,0.391006069
13,0.434922924
14,0.349353858
15,0.398374327
16,0.338980273
17,0.472176071
18,0.500610909
19,0.419902567
20,0.402580571
21,0.466797379
22,0.389877554
23,0.434734623
24,0.458604545
25,0.416539685
26,0.386216658
27,0.320022295
28,0.405536088
29,0.329157545
30,0.481994542
31,0.351089542
32,0.438748802
33,0.375974921
34,0.351980234
35,0.398207976
36,0.40093911
37,0.438448737
38,0.316538144
39,0.331385251
40,0.427079953
41,0.498366221
42,0.40958639
43,0.325573299
44,0.342800092
45,0.379158844
46,0.491077355
47,0.424810878
48,0.347537208
49,0.368280102
50,0.466410706
51,0.433351408
52,0.379098776
53,0.323653632
54,0.439208272
55,0.416891045
56,0.415940355
57,0.2822998
58,0.519689436
59,0.43674168
60,0.457051261
61,0.434401903
62,0.466743214
63,0.380977109
64,0.41923498
65,0.418295927
66,0.437060642
67,0.429115234
68,0.371694225
69,0.407662102
70,0.365661995
71,0.430610105
72,0.383888718
73,0.464089059
74,0.45039529
75,0.441684273
76,0.421901767
77,0.312852035
78,0.383827698
79,0.466980809
80,0.378044476
81,0.397693808
82,0.410612443
83,0.383424626
84,0.331413605
85,0.437129633
86,0.401545622
87,0.476167593
88,0.348970586
89,0.444581095
90,0.345025714
91,0.305438714
92,0.438322737
93,0.401313506
94,0.413828743
95,0.43103266
96,0.423020512
97,0.382653835
98,0.470900498
99,0.379725491
100,0.391583833
101,0.47229486
102,0.423730146
103,0.362007622
104,0.370343767
105,0.416403393
106,0.427331936
107,0.303585255
108,0.398130808
109,0.331783516
110,0.401442125
111,0.402804754
112,0.483690327
113,0.297984173
114,0.363891253
115,0.342126269
116,0.411336603
117,0.37102592
118,0.360620781
119,0.469412487
120,0.426826405
121,0.419893769
122,0.415416899
123,0.316497166
124,0.434333604
125,0.544153247
126,0.345674628
127,0.338445377
128,0.451550749
129,0.463798967
130,0.4038328
131,0.42481034
132,0.379961339
133,0.44877098
134,0.333403926
135,0.375367838
136,0.40159164
137,0.428819412
138,0.40896057
139,0.380083774
140,0.384981673
141,0.369529956
142,0.367508484
143,0.396640801
144,0.44166397
145,0.409942806
146,0.404745558
147,0.523035667
148,0.433999122
149,0.426685682
150,0.468057493
151,0.421181043
152,0.348851302
153,0.391712374
154,0.394742563
155,0.453392669
156,0.360137636
157,0.406080385
158,0.37900341
159,0.442997111
160,0.311965638
161,0.465222423
162,0.367518105
163,0.419403395
164,0.367682593
165,0.277905949
166,0.307425156
167,0.409712503
168,0.452656824
169,0.361035965
170,0.458925014
171,0.420365013
172,0.416146747
173,0.442896313
174,0.415818052
175,0.324180523
176,0.493190579
177,0.479432155
178,0.37594823
179,0.369064378
180,0.398290029
181,0.425892122
182,0.454136088
183,0.386863179
184,0.46323073
185,0.379485342
186,0.417300745
187,0.354392045
188,0.355815315
189,0.40238309
190,0.406127637
191,0.424901613
192,0.366604684
193,0.38984157
194,0.41990815
195,0.414643425
196,0.344956299
197,0.488795228
198,0.375377237
199,0.378385943
200,0.371558167
201,0.499292332
202,0.438551191
203,0.359540786
204,0.378341601
205,0.409909899
206,0.322970927
207,0.382276874
208,0.464403159
209,0.364363336
210,0.441066816
211,0.363949654
212,0.364757296
213,0.359211558
214,0.45105888
215,0.461624275
216,0.382360314
217,0.37240023
218,0.406574268
219,0.378495782
220,0.403228027
221,0.401371096
222,0.439389665
223,0.443694101
224,0.423639866
225,0.406182892
226,0.42852844
227,0.436992943
228,0.435362104
229,0.422842014
230,0.380232489
231,0.346726608
232,0.424568218
233,0.39402448
234,0.381263977
235,0.439882208
236,0.394822329
237,0.410507387
238,0.434213898
239,0.451283403
240,0.410469692
241,0.310178299
242,0.439544028
243,0.402169806
244,0.396515421
245,0.382384437
246,0.321252319
247,0.456227113
248,0.352667631
249,0.397815232
250,0.426956005
251,0.366968037
252,0.4435031
253,0.467667461
254,0.416485837
255,0.30027717
256,0.337095566
257,0.512881974
258,0.344359877
259,0.42476334
260,0.361180737
261,0.384080808
262,0.387488609
263,0.412476789
264,0.388997113
265,0.399144632
266,0.383955302
267,0.420361391
268,0.408550454
269,0.41734687
270,0.487180481
271,0.355234789
272,0.367061222
273,0.447702641
274,0.429640516
275,0.407189136
276,0.417875889
277,0.334670493
278,0.335598146
279,0.280407293
280,0.384841444
281,0.389096783
282,0.39660132
283,0.356512268
284,0.350145388
285,0.437962998
286,0.458670186
287,0.397935767
288,0.340805392
289,0.401264087
290,0.308296442
291,0.465255928
292,0.417837772
293,0.444428973
294,0.367635365
295,0.386962493
296,0.514796182
297,0.348169953
298,0.382008428
299,0.388950817
300,0.349063602
301,0.425619665
302,0.433301289
303,0.432576734
304,0.41647758
305,0.441828835
306,0.364803745
307,0.356080402
308,0.364276919
309,0.393678884
310,0.400459685
311,0.323817801
312,0.366317528
313,0.396702131
314,0.423440808
315,0.391074856
316,0.392841969
317,0.410496321
318,0.304034866
319,0.408709293
320,0.381759103
321,0.484372358
322,0.403732841
323,0.414761595
324,0.420817877
325,0.400143955
326,0.46009094
327,0.417328166
328,0.497385367
329,0.482738557
330,0.406060721
331,0.382669622
332,0.466943194
333,0.374008509
334,0.38813973
335,0.320376857
336,0.402261643
337,0.38446957
338,0.450122657
339,0.364685643
340,0.371817829
341,0.346074365
342,0.435687127
343,0.440059314
344,0.301006662
345,0.391312972
